match_id,team_id,ht_goals,ht_shots,ht_sog,ht_corners,ht_fouls,total_shots_on_goal
3802643,138,1,4,1,0,9,2
3802643,131,1,6,3,0,4,6
3803000,152,1,4,2,0,3,4
3803000,131,2,5,4,0,2,11
3802802,131,1,9,2,0,3,7
3802802,156,0,4,2,0,7,3
3802696,156,0,2,0,0,6,4
3802696,131,1,9,2,0,6,3
3802699,131,0,4,1,0,0,7
3802699,143,1,6,2,0,7,3
3802685,168,0,11,5,0,4,7
3802685,131,0,6,3,0,4,6
3802665,139,0,4,2,0,2,3
3802665,131,3,11,7,0,5,9
3802752,131,0,6,3,0,5,5
3802752,137,0,8,4,0,12,5
3802809,134,1,7,2,0,5,4
3802809,131,0,6,0,0,3,0
3802676,131,0,9,2,0,7,6
3802676,168,0,5,2,0,6,3
3802983,131,2,7,3,0,8,3
3802983,147,1,1,1,0,7,1
3802907,143,1,5,3,0,11,5
3802907,131,3,9,3,0,3,7
3802902,147,0,5,0,0,5,1
3802902,131,0,8,3,0,6,3
3802818,131,2,10,4,0,4,7
3802818,165,0,1,0,0,10,4
3802683,131,2,6,2,0,3,2
3802683,129,0,8,0,0,9,3
3802690,165,1,11,4,0,4,5
3802690,131,0,6,0,0,3,4
3802904,131,1,6,1,0,2,3
3802904,146,0,8,2,0,7,5
3802837,135,1,3,2,0,6,4
3802837,131,1,6,4,0,6,8
3802984,131,1,8,5,0,4,7
3802984,144,0,2,1,0,8,6
3802805,136,0,5,2,0,9,6
3802805,131,0,4,1,0,2,2
3802709,131,1,8,3,0,4,8
3802709,135,1,6,4,0,10,6
3802948,131,3,13,6,0,3,11
3802948,141,0,4,1,0,8,1
3802930,131,2,8,4,0,8,6
3802930,133,1,7,1,0,11,3
3802793,131,0,10,3,0,2,5
3802793,136,0,2,2,0,6,2
3802839,144,3,9,6,0,11,7
3802839,131,0,7,5,0,5,9
3802795,131,0,5,0,0,6,1
3802795,134,0,5,1,0,4,1
